"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","repeat.var","repeat.var.value"
"11.3","Could you please estimate how many vendors, <span style=""color:blue""> selling similar items as you do or have a similar business as yours </span>, are operating in this marketplace/area of operation?","regions","21 to 30","south west",0.08,NA,NA
"11.4","Could you please estimate how many vendors, <span style=""color:blue""> selling similar items as you do or have a similar business as yours </span>, are operating in this marketplace/area of operation?","regions","41 to 50","south west",0.0933333333333333,NA,NA
"11.5","Could you please estimate how many vendors, <span style=""color:blue""> selling similar items as you do or have a similar business as yours </span>, are operating in this marketplace/area of operation?","regions","More than 50","south west",0.0933333333333333,NA,NA
"11.6","Could you please estimate how many vendors, <span style=""color:blue""> selling similar items as you do or have a similar business as yours </span>, are operating in this marketplace/area of operation?","regions","0 to 10","west nile",0.242857142857143,NA,NA
"11.7","Could you please estimate how many vendors, <span style=""color:blue""> selling similar items as you do or have a similar business as yours </span>, are operating in this marketplace/area of operation?","regions","11 to 20","west nile",0.180952380952381,NA,NA
"11.8","Could you please estimate how many vendors, <span style=""color:blue""> selling similar items as you do or have a similar business as yours </span>, are operating in this marketplace/area of operation?","regions","21 to 30","west nile",0.10952380952381,NA,NA
"11.9","Could you please estimate how many vendors, <span style=""color:blue""> selling similar items as you do or have a similar business as yours </span>, are operating in this marketplace/area of operation?","regions","31 to 40","west nile",0.2,NA,NA
"11.10","Could you please estimate how many vendors, <span style=""color:blue""> selling similar items as you do or have a similar business as yours </span>, are operating in this marketplace/area of operation?","regions","41 to 50","west nile",0.123809523809524,NA,NA
"11.11","Could you please estimate how many vendors, <span style=""color:blue""> selling similar items as you do or have a similar business as yours </span>, are operating in this marketplace/area of operation?","regions","More than 50","west nile",0.142857142857143,NA,NA
"12.1","Compared to one week ago, how has the number of vendors selling similar items as you do changed?","regions","Decreased","south west",0.131868131868132,NA,NA
"12.2","Compared to one week ago, how has the number of vendors selling similar items as you do changed?","regions","Increased","south west",0.021978021978022,NA,NA
"12.3","Compared to one week ago, how has the number of vendors selling similar items as you do changed?","regions","Remained the same","south west",0.747252747252747,NA,NA
"12.4","Compared to one week ago, how has the number of vendors selling similar items as you do changed?","regions","Same","south west",0.0989010989010989,NA,NA
"12.5","Compared to one week ago, how has the number of vendors selling similar items as you do changed?","regions","Decreased","west nile",0.0657276995305164,NA,NA
"12.6","Compared to one week ago, how has the number of vendors selling similar items as you do changed?","regions","Increased","west nile",0.0657276995305164,NA,NA
"12.7","Compared to one week ago, how has the number of vendors selling similar items as you do changed?","regions","Remained the same","west nile",0.868544600938967,NA,NA
"13.dependent.var","Over the past **One week**, how many customers have you received **per day** on average?","regions",NA,"south west",20.2747252747253,NA,NA
"13.dependent.var1","Over the past **One week**, how many customers have you received **per day** on average?","regions",NA,"west nile",21.7761904761905,NA,NA
"14.dependent.var","How many agents (for mobile money and banks) are currently active in this marketplace/your area of operation?","regions",NA,"south west",10.3,NA,NA
"14.dependent.var1","How many agents (for mobile money and banks) are currently active in this marketplace/your area of operation?","regions",NA,"west nile",24.4727272727273,NA,NA
"15.1","How do you feel about your security operating in this marketplace?","regions","I feel insecure","south west",0.106666666666667,NA,NA
"15.2","How do you feel about your security operating in this marketplace?","regions","I feel secure","south west",0.893333333333333,NA,NA
"15.3","How do you feel about your security operating in this marketplace?","regions","I feel insecure","west nile",0.00952380952380952,NA,NA
"15.4","How do you feel about your security operating in this marketplace?","regions","I don’t feel secure nor insecure","west nile",0.619047619047619,NA,NA
"15.5","How do you feel about your security operating in this marketplace?","regions","I feel secure","west nile",0.371428571428571,NA,NA
"16.1","Compared to **one week ago**, how has your feeling about your security operating in this marketplace changed?","regions","Less secure","south west",0.0769230769230769,NA,NA
"16.2","Compared to **one week ago**, how has your feeling about your security operating in this marketplace changed?","regions","More secure","south west",0.208791208791209,NA,NA
"16.3","Compared to **one week ago**, how has your feeling about your security operating in this marketplace changed?","regions","No difference","south west",0.714285714285714,NA,NA
"16.4","Compared to **one week ago**, how has your feeling about your security operating in this marketplace changed?","regions","Less secure","west nile",0.0140845070422535,NA,NA
"16.5","Compared to **one week ago**, how has your feeling about your security operating in this marketplace changed?","regions","More secure","west nile",0.0328638497652582,NA,NA
"16.6","Compared to **one week ago**, how has your feeling about your security operating in this marketplace changed?","regions","No difference","west nile",0.953051643192488,NA,NA
"18.1","Why do you feel ${safety}?","regions","Corona-infected individuals in the area","south west",0.021978021978022,NA,NA
"18.2","Why do you feel ${safety}?","regions","Corona-infected individuals in the area","west nile",0,NA,NA
"18.3","Why do you feel ${safety}?","regions","Discretionary behaviour of security personnel","south west",0,NA,NA
"18.4","Why do you feel ${safety}?","regions","Discretionary behaviour of security personnel","west nile",0,NA,NA
"18.5","Why do you feel ${safety}?","regions","Fear of theft","south west",0.021978021978022,NA,NA
"18.6","Why do you feel ${safety}?","regions","Fear of theft","west nile",0,NA,NA
"18.7","Why do you feel ${safety}?","regions","Non-compliance with official rules and regulations of COVID-19 prevention","south west",0.043956043956044,NA,NA
"18.8","Why do you feel ${safety}?","regions","Non-compliance with official rules and regulations of COVID-19 prevention","west nile",0.0140845070422535,NA,NA
"18.9","Why do you feel ${safety}?","regions","Other","south west",0,NA,NA
"18.10","Why do you feel ${safety}?","regions","Other","west nile",0,NA,NA
"20.1","Why do you feel ${safety}?","regions","Appropriate behaviour of security personnel","south west",0.032967032967033,NA,NA
"20.2","Why do you feel ${safety}?","regions","Appropriate behaviour of security personnel","west nile",0.0234741784037559,NA,NA
"20.3","Why do you feel ${safety}?","regions","Implementation of rules and regulations","south west",0.032967032967033,NA,NA
"20.4","Why do you feel ${safety}?","regions","Implementation of rules and regulations","west nile",0.00938967136150235,NA,NA
"20.5","Why do you feel ${safety}?","regions","Increased awareness about health risks and appropriate behaviour","south west",0.131868131868132,NA,NA
"20.6","Why do you feel ${safety}?","regions","Increased awareness about health risks and appropriate behaviour","west nile",0.0187793427230047,NA,NA
"20.7","Why do you feel ${safety}?","regions","Increased presence of security personnel","south west",0.153846153846154,NA,NA
"20.8","Why do you feel ${safety}?","regions","Increased presence of security personnel","west nile",0.00938967136150235,NA,NA
"20.9","Why do you feel ${safety}?","regions","Installation of sanitary infrastructure","south west",0.153846153846154,NA,NA
"20.10","Why do you feel ${safety}?","regions","Installation of sanitary infrastructure","west nile",0,NA,NA
"20.11","Why do you feel ${safety}?","regions","Market is less crowded","south west",0.0769230769230769,NA,NA
"20.12","Why do you feel ${safety}?","regions","Market is less crowded","west nile",0,NA,NA
"20.13","Why do you feel ${safety}?","regions","Other","south west",0,NA,NA
"20.14","Why do you feel ${safety}?","regions","Other","west nile",0,NA,NA
"22.1","Over the **past week**, have there been any commodities for which you had difficulty obtaining a large enough supply to meet your customers’ demand?","regions","No","south west",0.813186813186813,NA,NA
"22.2","Over the **past week**, have there been any commodities for which you had difficulty obtaining a large enough supply to meet your customers’ demand?","regions","Yes","south west",0.186813186813187,NA,NA
"22.3","Over the **past week**, have there been any commodities for which you had difficulty obtaining a large enough supply to meet your customers’ demand?","regions","No","west nile",0.877934272300469,NA,NA
"22.4","Over the **past week**, have there been any commodities for which you had difficulty obtaining a large enough supply to meet your customers’ demand?","regions","Yes","west nile",0.122065727699531,NA,NA
"24.1","Why did you have difficulty obtaining enough of these items to meet demand?","regions","Not enough money to source items","south west",0.021978021978022,NA,NA
"24.2","Why did you have difficulty obtaining enough of these items to meet demand?","regions","Not enough money to source items","west nile",0.0140845070422535,NA,NA
"24.3","Why did you have difficulty obtaining enough of these items to meet demand?","regions","Producers not producing enough","south west",0.054945054945055,NA,NA
"24.4","Why did you have difficulty obtaining enough of these items to meet demand?","regions","Producers not producing enough","west nile",0.00469483568075117,NA,NA
"24.5","Why did you have difficulty obtaining enough of these items to meet demand?","regions","Supplier unable to provide enough","south west",0.0659340659340659,NA,NA
"24.6","Why did you have difficulty obtaining enough of these items to meet demand?","regions","Supplier unable to provide enough","west nile",0.0751173708920188,NA,NA
"24.7","Why did you have difficulty obtaining enough of these items to meet demand?","regions","Difficulty transporting items to marketplace","south west",0.043956043956044,NA,NA
"24.8","Why did you have difficulty obtaining enough of these items to meet demand?","regions","Difficulty transporting items to marketplace","west nile",0.0140845070422535,NA,NA
"24.9","Why did you have difficulty obtaining enough of these items to meet demand?","regions","Can no longer obtain items due to restrictions","south west",0.021978021978022,NA,NA
"24.10","Why did you have difficulty obtaining enough of these items to meet demand?","regions","Can no longer obtain items due to restrictions","west nile",0.0187793427230047,NA,NA
"24.11","Why did you have difficulty obtaining enough of these items to meet demand?","regions","Others (specify)","south west",0.0659340659340659,NA,NA
"24.12","Why did you have difficulty obtaining enough of these items to meet demand?","regions","Others (specify)","west nile",0.00938967136150235,NA,NA
"26.1","Are you afraid of running out of stocks for certain items **within one week** from now?","regions","No","south west",0.89010989010989,NA,NA
"26.2","Are you afraid of running out of stocks for certain items **within one week** from now?","regions","Yes","south west",0.10989010989011,NA,NA
"26.3","Are you afraid of running out of stocks for certain items **within one week** from now?","regions","No","west nile",0.71830985915493,NA,NA
"26.4","Are you afraid of running out of stocks for certain items **within one week** from now?","regions","Yes","west nile",0.28169014084507,NA,NA
"28.1","What was the cause of price increase in cereals?","regions","Distribution of cash, food and/or non-food items in the settlement","south west",0,NA,NA
"28.2","What was the cause of price increase in cereals?","regions","Distribution of cash, food and/or non-food items in the settlement","west nile",0.00469483568075117,NA,NA
"28.3","What was the cause of price increase in cereals?","regions","Harvested stocks are becoming depleted, causing scarcity of the item","south west",0.340659340659341,NA,NA
"28.4","What was the cause of price increase in cereals?","regions","Harvested stocks are becoming depleted, causing scarcity of the item","west nile",0.0234741784037559,NA,NA
"28.5","What was the cause of price increase in cereals?","regions","Supply shocks caused by factors such as road damage and poor access to transport","south west",0.054945054945055,NA,NA
"28.6","What was the cause of price increase in cereals?","regions","Supply shocks caused by factors such as road damage and poor access to transport","west nile",0.0187793427230047,NA,NA
"28.7","What was the cause of price increase in cereals?","regions","High demand due to increase in incomes and increase in the number of customers","south west",0,NA,NA
"28.8","What was the cause of price increase in cereals?","regions","High demand due to increase in incomes and increase in the number of customers","west nile",0.00469483568075117,NA,NA
"28.9","What was the cause of price increase in cereals?","regions","Some traders are controlling market prices","south west",0.021978021978022,NA,NA
"28.10","What was the cause of price increase in cereals?","regions","Some traders are controlling market prices","west nile",0.00469483568075117,NA,NA
"28.11","What was the cause of price increase in cereals?","regions","Others","south west",0.0989010989010989,NA,NA
"28.12","What was the cause of price increase in cereals?","regions","Others","west nile",0.00938967136150235,NA,NA
"30.1","What was the cause of price increase in cassava?","regions","Distribution of cash, food and/or non-food items in the settlement","south west",0,NA,NA
"30.2","What was the cause of price increase in cassava?","regions","Distribution of cash, food and/or non-food items in the settlement","west nile",0,NA,NA
"30.3","What was the cause of price increase in cassava?","regions","Harvested stocks are becoming depleted, causing scarcity of the item","south west",0,NA,NA
"30.4","What was the cause of price increase in cassava?","regions","Harvested stocks are becoming depleted, causing scarcity of the item","west nile",0,NA,NA
"30.5","What was the cause of price increase in cassava?","regions","Supply shocks caused by factors such as road damage and poor access to transport","south west",0,NA,NA
"30.6","What was the cause of price increase in cassava?","regions","Supply shocks caused by factors such as road damage and poor access to transport","west nile",0,NA,NA
"30.7","What was the cause of price increase in cassava?","regions","High demand due to increase in incomes and increase in the number of customers","south west",0,NA,NA
"30.8","What was the cause of price increase in cassava?","regions","High demand due to increase in incomes and increase in the number of customers","west nile",0,NA,NA
"30.9","What was the cause of price increase in cassava?","regions","Some traders are controlling market prices","south west",0,NA,NA
"30.10","What was the cause of price increase in cassava?","regions","Some traders are controlling market prices","west nile",0,NA,NA
"30.11","What was the cause of price increase in cassava?","regions","Others","south west",0,NA,NA
"30.12","What was the cause of price increase in cassava?","regions","Others","west nile",0,NA,NA
"32.1","What was the cause of price increase in beans?","regions","Distribution of cash, food and/or non-food items in the settlement","south west",0,NA,NA
"32.2","What was the cause of price increase in beans?","regions","Distribution of cash, food and/or non-food items in the settlement","west nile",0.00469483568075117,NA,NA
"32.3","What was the cause of price increase in beans?","regions","Harvested stocks are becoming depleted, causing scarcity of the item","south west",0.043956043956044,NA,NA
"32.4","What was the cause of price increase in beans?","regions","Harvested stocks are becoming depleted, causing scarcity of the item","west nile",0.028169014084507,NA,NA
"32.5","What was the cause of price increase in beans?","regions","Supply shocks caused by factors such as road damage and poor access to transport","south west",0,NA,NA
"32.6","What was the cause of price increase in beans?","regions","Supply shocks caused by factors such as road damage and poor access to transport","west nile",0.00938967136150235,NA,NA
"32.7","What was the cause of price increase in beans?","regions","High demand due to increase in incomes and increase in the number of customers","south west",0,NA,NA
"32.8","What was the cause of price increase in beans?","regions","High demand due to increase in incomes and increase in the number of customers","west nile",0.00469483568075117,NA,NA
"32.9","What was the cause of price increase in beans?","regions","Some traders are controlling market prices","south west",0.010989010989011,NA,NA
"32.10","What was the cause of price increase in beans?","regions","Some traders are controlling market prices","west nile",0,NA,NA
"32.11","What was the cause of price increase in beans?","regions","Others","south west",0.010989010989011,NA,NA
"32.12","What was the cause of price increase in beans?","regions","Others","west nile",0,NA,NA
"34.1","What was the cause of price increase in vegetables?","regions","Distribution of cash, food and/or non-food items in the settlement","south west",0,NA,NA
"34.2","What was the cause of price increase in vegetables?","regions","Distribution of cash, food and/or non-food items in the settlement","west nile",0,NA,NA
"34.3","What was the cause of price increase in vegetables?","regions","Harvested stocks are becoming depleted, causing scarcity of the item","south west",0,NA,NA
"34.4","What was the cause of price increase in vegetables?","regions","Harvested stocks are becoming depleted, causing scarcity of the item","west nile",0,NA,NA
"34.5","What was the cause of price increase in vegetables?","regions","Supply shocks caused by factors such as road damage and poor access to transport","south west",0,NA,NA
"34.6","What was the cause of price increase in vegetables?","regions","Supply shocks caused by factors such as road damage and poor access to transport","west nile",0,NA,NA
"34.7","What was the cause of price increase in vegetables?","regions","High demand due to increase in incomes and increase in the number of customers","south west",0,NA,NA
"34.8","What was the cause of price increase in vegetables?","regions","High demand due to increase in incomes and increase in the number of customers","west nile",0,NA,NA
"34.9","What was the cause of price increase in vegetables?","regions","Some traders are controlling market prices","south west",0,NA,NA
"34.10","What was the cause of price increase in vegetables?","regions","Some traders are controlling market prices","west nile",0,NA,NA
"34.11","What was the cause of price increase in vegetables?","regions","Others","south west",0,NA,NA
"34.12","What was the cause of price increase in vegetables?","regions","Others","west nile",0,NA,NA
"36.1","What was the cause of price increase in milk?","regions","Distribution of cash, food and/or non-food items in the settlement","south west",0,NA,NA
"36.2","What was the cause of price increase in milk?","regions","Distribution of cash, food and/or non-food items in the settlement","west nile",0,NA,NA
"36.3","What was the cause of price increase in milk?","regions","Harvested stocks are becoming depleted, causing scarcity of the item","south west",0,NA,NA
"36.4","What was the cause of price increase in milk?","regions","Harvested stocks are becoming depleted, causing scarcity of the item","west nile",0,NA,NA
"36.5","What was the cause of price increase in milk?","regions","Supply shocks caused by factors such as road damage and poor access to transport","south west",0,NA,NA
"36.6","What was the cause of price increase in milk?","regions","Supply shocks caused by factors such as road damage and poor access to transport","west nile",0,NA,NA
"36.7","What was the cause of price increase in milk?","regions","High demand due to increase in incomes and increase in the number of customers","south west",0,NA,NA
"36.8","What was the cause of price increase in milk?","regions","High demand due to increase in incomes and increase in the number of customers","west nile",0,NA,NA
"36.9","What was the cause of price increase in milk?","regions","Some traders are controlling market prices","south west",0,NA,NA
"36.10","What was the cause of price increase in milk?","regions","Some traders are controlling market prices","west nile",0,NA,NA
"36.11","What was the cause of price increase in milk?","regions","Others","south west",0,NA,NA
"36.12","What was the cause of price increase in milk?","regions","Others","west nile",0,NA,NA
"38.1","What was the cause of price increase in fish?","regions","Distribution of cash, food and/or non-food items in the settlement","south west",0,NA,NA
"38.2","What was the cause of price increase in fish?","regions","Distribution of cash, food and/or non-food items in the settlement","west nile",0,NA,NA
"38.3","What was the cause of price increase in fish?","regions","Harvested stocks are becoming depleted, causing scarcity of the item","south west",0,NA,NA
"38.4","What was the cause of price increase in fish?","regions","Harvested stocks are becoming depleted, causing scarcity of the item","west nile",0,NA,NA
"38.5","What was the cause of price increase in fish?","regions","Supply shocks caused by factors such as road damage and poor access to transport","south west",0.010989010989011,NA,NA
"38.6","What was the cause of price increase in fish?","regions","Supply shocks caused by factors such as road damage and poor access to transport","west nile",0.0516431924882629,NA,NA
"38.7","What was the cause of price increase in fish?","regions","High demand due to increase in incomes and increase in the number of customers","south west",0,NA,NA
"38.8","What was the cause of price increase in fish?","regions","High demand due to increase in incomes and increase in the number of customers","west nile",0.0375586854460094,NA,NA
"38.9","What was the cause of price increase in fish?","regions","Some traders are controlling market prices","south west",0.010989010989011,NA,NA
"38.10","What was the cause of price increase in fish?","regions","Some traders are controlling market prices","west nile",0,NA,NA
"38.11","What was the cause of price increase in fish?","regions","Others","south west",0.010989010989011,NA,NA
"38.12","What was the cause of price increase in fish?","regions","Others","west nile",0,NA,NA
"40.1","What was the cause of price increase in oil?","regions","Distribution of cash, food and/or non-food items in the settlement","south west",0,NA,NA
"40.2","What was the cause of price increase in oil?","regions","Distribution of cash, food and/or non-food items in the settlement","west nile",0.0140845070422535,NA,NA
"40.3","What was the cause of price increase in oil?","regions","Harvested stocks are becoming depleted, causing scarcity of the item","south west",0,NA,NA
"40.4","What was the cause of price increase in oil?","regions","Harvested stocks are becoming depleted, causing scarcity of the item","west nile",0.00469483568075117,NA,NA
"40.5","What was the cause of price increase in oil?","regions","Supply shocks caused by factors such as road damage and poor access to transport","south west",0,NA,NA
"40.6","What was the cause of price increase in oil?","regions","Supply shocks caused by factors such as road damage and poor access to transport","west nile",0,NA,NA
"40.7","What was the cause of price increase in oil?","regions","High demand due to increase in incomes and increase in the number of customers","south west",0,NA,NA
"40.8","What was the cause of price increase in oil?","regions","High demand due to increase in incomes and increase in the number of customers","west nile",0.028169014084507,NA,NA
"40.9","What was the cause of price increase in oil?","regions","Some traders are controlling market prices","south west",0,NA,NA
"40.10","What was the cause of price increase in oil?","regions","Some traders are controlling market prices","west nile",0.00469483568075117,NA,NA
"40.11","What was the cause of price increase in oil?","regions","Others","south west",0.032967032967033,NA,NA
"40.12","What was the cause of price increase in oil?","regions","Others","west nile",0.00469483568075117,NA,NA
"42.1","What was the cause of price increase in salt?","regions","Distribution of cash, food and/or non-food items in the settlement","south west",0,NA,NA
"42.2","What was the cause of price increase in salt?","regions","Distribution of cash, food and/or non-food items in the settlement","west nile",0,NA,NA
"42.3","What was the cause of price increase in salt?","regions","Harvested stocks are becoming depleted, causing scarcity of the item","south west",0,NA,NA
"42.4","What was the cause of price increase in salt?","regions","Harvested stocks are becoming depleted, causing scarcity of the item","west nile",0,NA,NA
"42.5","What was the cause of price increase in salt?","regions","Supply shocks caused by factors such as road damage and poor access to transport","south west",0,NA,NA
"42.6","What was the cause of price increase in salt?","regions","Supply shocks caused by factors such as road damage and poor access to transport","west nile",0,NA,NA
"42.7","What was the cause of price increase in salt?","regions","High demand due to increase in incomes and increase in the number of customers","south west",0,NA,NA
"42.8","What was the cause of price increase in salt?","regions","High demand due to increase in incomes and increase in the number of customers","west nile",0,NA,NA
"42.9","What was the cause of price increase in salt?","regions","Some traders are controlling market prices","south west",0,NA,NA
"42.10","What was the cause of price increase in salt?","regions","Some traders are controlling market prices","west nile",0,NA,NA
"42.11","What was the cause of price increase in salt?","regions","Others","south west",0,NA,NA
"42.12","What was the cause of price increase in salt?","regions","Others","west nile",0,NA,NA
"44.1","What was the cause of price increase in wash items?","regions","Distribution of cash, food and/or non-food items in the settlement","south west",0,NA,NA
"44.2","What was the cause of price increase in wash items?","regions","Distribution of cash, food and/or non-food items in the settlement","west nile",0,NA,NA
"44.3","What was the cause of price increase in wash items?","regions","Harvested stocks are becoming depleted, causing scarcity of the item","south west",0,NA,NA
"44.4","What was the cause of price increase in wash items?","regions","Harvested stocks are becoming depleted, causing scarcity of the item","west nile",0,NA,NA
"44.5","What was the cause of price increase in wash items?","regions","Supply shocks caused by factors such as road damage and poor access to transport","south west",0,NA,NA
"44.6","What was the cause of price increase in wash items?","regions","Supply shocks caused by factors such as road damage and poor access to transport","west nile",0,NA,NA
"44.7","What was the cause of price increase in wash items?","regions","High demand due to increase in incomes and increase in the number of customers","south west",0,NA,NA
"44.8","What was the cause of price increase in wash items?","regions","High demand due to increase in incomes and increase in the number of customers","west nile",0,NA,NA
"44.9","What was the cause of price increase in wash items?","regions","Some traders are controlling market prices","south west",0,NA,NA
"44.10","What was the cause of price increase in wash items?","regions","Some traders are controlling market prices","west nile",0,NA,NA
"44.11","What was the cause of price increase in wash items?","regions","Others","south west",0.010989010989011,NA,NA
"44.12","What was the cause of price increase in wash items?","regions","Others","west nile",0,NA,NA
"46.1","What was the cause of price increase in energy items?","regions","Distribution of cash, food and/or non-food items in the settlement","south west",0,NA,NA
"46.2","What was the cause of price increase in energy items?","regions","Distribution of cash, food and/or non-food items in the settlement","west nile",0,NA,NA
"46.3","What was the cause of price increase in energy items?","regions","Harvested stocks are becoming depleted, causing scarcity of the item","south west",0.032967032967033,NA,NA
"46.4","What was the cause of price increase in energy items?","regions","Harvested stocks are becoming depleted, causing scarcity of the item","west nile",0,NA,NA
"46.5","What was the cause of price increase in energy items?","regions","Supply shocks caused by factors such as road damage and poor access to transport","south west",0.043956043956044,NA,NA
"46.6","What was the cause of price increase in energy items?","regions","Supply shocks caused by factors such as road damage and poor access to transport","west nile",0,NA,NA
"46.7","What was the cause of price increase in energy items?","regions","High demand due to increase in incomes and increase in the number of customers","south west",0,NA,NA
"46.8","What was the cause of price increase in energy items?","regions","High demand due to increase in incomes and increase in the number of customers","west nile",0,NA,NA
"46.9","What was the cause of price increase in energy items?","regions","Some traders are controlling market prices","south west",0.010989010989011,NA,NA
"46.10","What was the cause of price increase in energy items?","regions","Some traders are controlling market prices","west nile",0,NA,NA
"46.11","What was the cause of price increase in energy items?","regions","Others","south west",0.032967032967033,NA,NA
"46.12","What was the cause of price increase in energy items?","regions","Others","west nile",0,NA,NA
"48.1","What was the cause of price decrease in cereals?","regions","Distribution of cash, food and/or non-food items in the settlement","south west",0,NA,NA
"48.2","What was the cause of price decrease in cereals?","regions","Distribution of cash, food and/or non-food items in the settlement","west nile",0.0704225352112676,NA,NA
"48.3","What was the cause of price decrease in cereals?","regions","The harvest season has increased availability of the items on the market","south west",0.164835164835165,NA,NA
"48.4","What was the cause of price decrease in cereals?","regions","The harvest season has increased availability of the items on the market","west nile",0.0938967136150235,NA,NA
"48.5","What was the cause of price decrease in cereals?","regions","Low demand due to low incomes and low purchasing power of the population","south west",0.175824175824176,NA,NA
"48.6","What was the cause of price decrease in cereals?","regions","Low demand due to low incomes and low purchasing power of the population","west nile",0.0610328638497653,NA,NA
"48.7","What was the cause of price decrease in cereals?","regions","Others","south west",0.021978021978022,NA,NA
"48.8","What was the cause of price decrease in cereals?","regions","Others","west nile",0.00938967136150235,NA,NA
"50.1","What was the cause of price decrease in cassava?","regions","Distribution of cash, food and/or non-food items in the settlement","south west",0,NA,NA
"50.2","What was the cause of price decrease in cassava?","regions","Distribution of cash, food and/or non-food items in the settlement","west nile",0,NA,NA
"50.3","What was the cause of price decrease in cassava?","regions","The harvest season has increased availability of the items on the market","south west",0,NA,NA
"50.4","What was the cause of price decrease in cassava?","regions","The harvest season has increased availability of the items on the market","west nile",0.00938967136150235,NA,NA
"50.5","What was the cause of price decrease in cassava?","regions","Low demand due to low incomes and low purchasing power of the population","south west",0,NA,NA
"50.6","What was the cause of price decrease in cassava?","regions","Low demand due to low incomes and low purchasing power of the population","west nile",0,NA,NA
"50.7","What was the cause of price decrease in cassava?","regions","Others","south west",0,NA,NA
"50.8","What was the cause of price decrease in cassava?","regions","Others","west nile",0,NA,NA
"52.1","What was the cause of price decrease in beans?","regions","Distribution of cash, food and/or non-food items in the settlement","south west",0,NA,NA
"52.2","What was the cause of price decrease in beans?","regions","Distribution of cash, food and/or non-food items in the settlement","west nile",0.07981220657277,NA,NA
"52.3","What was the cause of price decrease in beans?","regions","The harvest season has increased availability of the items on the market","south west",0.274725274725275,NA,NA
"52.4","What was the cause of price decrease in beans?","regions","The harvest season has increased availability of the items on the market","west nile",0.112676056338028,NA,NA
"52.5","What was the cause of price decrease in beans?","regions","Low demand due to low incomes and low purchasing power of the population","south west",0.131868131868132,NA,NA
"52.6","What was the cause of price decrease in beans?","regions","Low demand due to low incomes and low purchasing power of the population","west nile",0.0375586854460094,NA,NA
"52.7","What was the cause of price decrease in beans?","regions","Others","south west",0.0879120879120879,NA,NA
"52.8","What was the cause of price decrease in beans?","regions","Others","west nile",0.00938967136150235,NA,NA
"54.1","What was the cause of price decrease in vegetables?","regions","Distribution of cash, food and/or non-food items in the settlement","south west",0,NA,NA
"54.2","What was the cause of price decrease in vegetables?","regions","Distribution of cash, food and/or non-food items in the settlement","west nile",0.0140845070422535,NA,NA
"54.3","What was the cause of price decrease in vegetables?","regions","The harvest season has increased availability of the items on the market","south west",0,NA,NA
"54.4","What was the cause of price decrease in vegetables?","regions","The harvest season has increased availability of the items on the market","west nile",0.0657276995305164,NA,NA
"54.5","What was the cause of price decrease in vegetables?","regions","Low demand due to low incomes and low purchasing power of the population","south west",0,NA,NA
"54.6","What was the cause of price decrease in vegetables?","regions","Low demand due to low incomes and low purchasing power of the population","west nile",0.0187793427230047,NA,NA
"54.7","What was the cause of price decrease in vegetables?","regions","Others","south west",0,NA,NA
"54.8","What was the cause of price decrease in vegetables?","regions","Others","west nile",0,NA,NA
"56.1","What was the cause of price decrease in milk?","regions","Distribution of cash, food and/or non-food items in the settlement","south west",0,NA,NA
"56.2","What was the cause of price decrease in milk?","regions","Distribution of cash, food and/or non-food items in the settlement","west nile",0,NA,NA
