list_name,name,label
wash,pads,sanitary pads
wash,jerrycans,jerrycans
wash,basin,basin
energy,firewood,firewood
energy,charcoal,charcoal
shelter,nails,roofing nails
shelter,rope,nylon rope
shelter,brick_burnt,burnt brick
shelter,brick_unburnt,unburnt brick
shelter,grass,grass thatch
shelter,poles,eucalyptus poles
household_items,plate,plate-plastic
household_items,mug,mug-plastic
household_items,spoon,serving spoon
household_items,torch,torch
household_items,dry_cells,dry cells
household_items,mingle,wooden mingle
household_items,underwear,underwear-woman
education_items,book,exercise book
education_items,pen,pen
education_items,pencil,pencil
agricultural,pangea,panga
agricultural,hoea,hoe
agricultural,npk,NPK-15
agricultural,dap,DAP
agricultural,malathion,Malathion
vendors_change,Less,Vendors in the market are less than those before COVID-19
vendors_change,More,Vendors in the market are more than those before COVID-19
vendors_change,Same,Number of vendors is the same
price_increase_reason,distribution,"Distribution of cash, food and/or non-food items in the settlement"
price_increase_reason,seasonal_scarcity,"Harvested stocks are becoming depleted, causing scarcity of the item"
price_increase_reason,supply_shock,Supply shocks caused by factors such as road damage and poor access to transport
price_increase_reason,demand_high,High demand due to increase in incomes and increase in the number of customers
price_increase_reason,trader_actions,Some traders are controlling market prices
price_increase_reason,others,Others
price_decrease_reason,distribution,"Distribution of cash, food and/or non-food items in the settlement"
price_decrease_reason,seasonal_availability,The harvest season has increased availability of the items on the market
price_decrease_reason,demand_low,Low demand due to low incomes and low purchasing power of the population
price_decrease_reason,others,Others
WFP_commodity,beans,Beans
WFP_commodity,oil,Vegetable oil
WFP_commodity,csb,CSB++
WFP_commodity,maize,Maize grain
WFP_commodity,no_wfp_items,No WFP items sold in the market
WFP_commodity,didn’t_go_to_market,I was not able to go to the market
WFP_commodity,none,None
WFP_items_packed,beans,Beans
WFP_items_packed,oil,Vegetable oil
WFP_items_packed,csb,CSB++
WFP_items_packed,maize,Maize grain
WFP_items_packed,none,None
security,secure,I feel secure
security,insecure,I feel insecure
security,neutral,I don’t feel secure nor insecure
vendor_number,0_10,0 to 10
vendor_number,11_20,11 to 20
vendor_number,21_30,21 to 30
vendor_number,31_40,31 to 40
vendor_number,41_50,41 to 50
vendor_number,More than 50_50,More than 50
