list_name,name,label
item,"Energy items (e.g. Firewood, Charcoal)","Energy items (e.g. Firewood, Charcoal)"
item,"Shelter items (e.g. roofing nails, nylon rope,  bricks, grass thatch, eucalyptus poles)","Shelter items (e.g. roofing nails, nylon rope,  bricks, grass thatch, eucalyptus poles)"
item,"Household Items (e.g. Utensils, Clothing, Beddings, underwear, torch)","Household Items (e.g. Utensils, Clothing, Beddings, underwear, torch)"
item,"Education items (e.g. Exercise books, Pencils and pens)","Education items (e.g. Exercise books, Pencils and pens)"
item,"Agricultural inputs (e.g. Fertilizers, Pesticides, hoes and pangas)","Agricultural inputs (e.g. Fertilizers, Pesticides, hoes and pangas)"
item,None,None
yes_no_dk,Yes,Yes
yes_no_dk,No,No
yes_no_dk,I dont know,I dont know
cereal,maize grain,maize grain
cereal,maize flour,maize flour
cereal,millet flour,millet flour
cereal,sorghum grain,sorghum grain
wash,laundry soap,laundry soap
wash,sanitary pads,sanitary pads
wash,jerrycans,jerrycans
wash,basin,basin
energy,firewood,firewood
energy,charcoal,charcoal
shelter,roofing nails,roofing nails
shelter,nylon rope,nylon rope
shelter,burnt brick,burnt brick
shelter,unburnt brick,unburnt brick
shelter,grass thatch,grass thatch
shelter,eucalyptus poles,eucalyptus poles
household_items,plate-plastic,plate-plastic
household_items,mug-plastic,mug-plastic
household_items,serving spoon,serving spoon
household_items,torch,torch
household_items,dry cells,dry cells
household_items,wooden mingle,wooden mingle
household_items,underwear-woman,underwear-woman
education_items,exercise book,exercise book
education_items,pen,pen
education_items,pencil,pencil
agricultural,panga,panga
agricultural,hoe,hoe
agricultural,NPK-15,NPK-15
agricultural,DAP,DAP
agricultural,Malathion,Malathion
vendors_change,Vendors in the market are less than those before COVID-19,Vendors in the market are less than those before COVID-19
vendors_change,Vendors in the market are more than those before COVID-19,Vendors in the market are more than those before COVID-19
vendors_change,Number of vendors is the same.,Number of vendors is the same.
price_increase_reason,"Distribution of cash, food and/or non-food items in the settlement","Distribution of cash, food and/or non-food items in the settlement"
price_increase_reason,"Harvested stocks are becoming depleted, causing scarcity of the item","Harvested stocks are becoming depleted, causing scarcity of the item"
price_increase_reason,Supply shocks caused by factors such as road damage and poor access to transport,Supply shocks caused by factors such as road damage and poor access to transport
price_increase_reason,High demand due to increase in incomes and increase in the number of customers,High demand due to increase in incomes and increase in the number of customers
price_increase_reason,Some traders are controlling market prices,Some traders are controlling market prices
price_increase_reason,others,others
price_decrease_reason,"Distribution of cash, food and/or non-food items in the settlement","Distribution of cash, food and/or non-food items in the settlement"
price_decrease_reason,The harvest season has increased availability of the items on the market,The harvest season has increased availability of the items on the market
price_decrease_reason,Low demand due to low incomes and low purchasing power of the population,Low demand due to low incomes and low purchasing power of the population
price_decrease_reason,others,others
WFP_commodity,Beans,Beans
WFP_commodity,Vegetable oil,Vegetable oil
WFP_commodity,CSB++,CSB++
WFP_commodity,Maize grain,Maize grain
WFP_commodity,No WFP items sold in the market,No WFP items sold in the market
WFP_commodity,I was not able to go to the market,I was not able to go to the market
WFP_commodity,None,None
WFP_items_packed,Beans,Beans
WFP_items_packed,Vegetable oil,Vegetable oil
WFP_items_packed,CSB++,CSB++
WFP_items_packed,Maize grain,Maize grain
WFP_items_packed,None,None
security,I feel secure,I feel secure
security,I feel insecure,I feel insecure
security,I don’t feel secure nor insecure,I don’t feel secure nor insecure
vendor_number,0 to 10,0 to 10
vendor_number,11 to 20,11 to 20
vendor_number,21 to 30,21 to 30
vendor_number,31 to 40,31 to 40
vendor_number,41 to 50,41 to 50
vendor_number,More than 50,More than 50
